Регистрационный номер|Дата внесения записи|Полное наименование организации|Основной государственный регистрационный номер организации по ЕГРЮЛ|Основной государственный регистрационный номер организации по ЕГРЮЛ актуальный|Идентификационный номер налогоплательщика|Дата и номер решения  о государственной аккредитации|Сведения об изменениях, внесенных в содержащиеся в реестре сведения об аккредитованной организации (при наличии)|Справочно место регистрации организации / почтовый адрес
6742|2017-02-02 00:00:00|Общество с ограниченной ответственностью «ИТ Атлант»|1166451080168|1166451080168|6453148800|№ 44 от 02.02.2017||пр-т им. 50 лет Октября, д. 110А, пом. 2 , г. Саратов, Саратовская обл., 410040
6743|2017-02-02 00:00:00|Общество с ограниченной ответственностью «1С: Франчайзи А-Софт»|1024840840298|1024840840298|4823018667|№ 44 от 02.02.2017||ул. Фрунзе, д. 27, г. Липецк, Липецкая обл., 398059
6744|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Лайм Кэпитал групп»|1165476180011|1165476180011|5405987070|№ 44 от 02.02.2017||ул. Кирова, д. 48, офис 1403, г. Новосибирск, Новосибирская обл., 630102
6745|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Электрон»|1121690029966|1121690029966|1657117649|№ 44 от 02.02.2017||ул. Зирекле, д. 48А, г. Казань, Респ. Татарстан, 420088
6746|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Учись Учись»|1136619000968|1136619000968|6619016046|№ 44 от 02.02.2017||ул. Полевая, д. 2, пос. Новая Ельня, Нижнесергинский р-н, Свердловская обл., 623090
6747|2017-02-02 00:00:00|Общество с ограниченной ответственностью «ТВИЛ»|1137746262906|1137746262906|7733836960|№ 44 от 02.02.2017||ул. Маршала Рыбалко, д. 2, корп. 6, пом. I, г. Москва, 123060
6748|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Актив Интернет Продакшн»|1147847547902|1147847547902|7804120131|№ 44 от 02.02.2017||пр-т Гражданский, д. 8, лит. А, пом. 1-Н, г. Санкт-Петербург, 195220
6749|2017-02-02 00:00:00|Общество с ограниченной ответственностью «ДЖАЗЛ»|106504707053|106504707053|5008042724|№ 44 от 02.02.2017||ул. Гостиничная, д. 4, корп. 9, пом. 2, г. Москва, 127106
6750|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Флексби»|1135260010654|1135260010654|5260362996|№ 44 от 02.02.2017||ул. Театральная, д. 30, пом. 3, г. Калининград, Калининградская обл., 236022
6751|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Развитие бизнеса»|1162468119758|1162468119758|2466177046|№ 44 от 02.02.2017||ул. Диктатуры Пролетариата, д. 32, г. Красноярск, Красноярский край, 660017
6752|2017-02-02 00:00:00|Общество с ограниченной ответственностью «ТангоМи СТП»|1157847062482|1157847062482|7801274214|№ 44 от 02.02.2017||ул. Кропоткина, д. 1, лит. И, офис 502, г. Санкт-Петербург, 197101
6753|2017-02-02 00:00:00|Общество с ограниченной ответственностью «РИО СОФТ»|1165958091298|1165958091298|5903126162|№ 44 от 02.02.2017||спуск Решетниковский, д. 1, офис 17, г. Пермь, Пермский край, 614068
6754|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Металло-Тех»|1167746681475|1167746681475|9715267217|№ 44 от 02.02.2017|30.07.2020 полное наименование организации изменено с «Общество с ограниченной ответственностью «Джи Эс Эй Групп» на «Общество с ограниченной ответственностью «Металло-Тех», (Савинова О.О.)|ул. Рябиновая, д. 26, стр. 10, этаж 3, комн. 1, 1Б, г. Москва, 121471
6755|2017-02-02 00:00:00|Общество с ограниченной ответственностью «АЙТИДИ ЭКСПЕРТ»|1167746902784|1167746902784|7725333338|№ 44 от 02.02.2017||Дербеневская наб., д. 7, стр. 2, пом. I, комн. 35, г. Москва, 115114
6756|2017-02-02 00:00:00|Акционерное общество «ВекторПлюс-Н»|1117746701786|1117746701786|7726682243|№ 44 от 02.02.2017||пр-д Багратионовский, д. 7, корп. 1, каб. 438, г. Москва, 121087
6757|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Смарт Аналитикс»|1165958108161|1165958108161|5906143381|№ 44 от 02.02.2017||б-р Гагарина, д. 44а, кв. 102, г. Пермь, Пермский край, 614070
6758|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Касл Юнайтед»|1167847485189|1167847485189|7813267853|№ 44 от 02.02.2017||Большой пр-т Петроградской стороны, д. 92, лит. В, пом. 8-Н, г. Санкт-Петербург, 197136
6759|2017-02-02 00:00:00|Общество с ограниченной ответственностью «МИГАС»|1127746382785|1127746382785|7722776500|№ 44 от 02.02.2017||ул. Смирновская, д. 25, стр. 12, г. Москва, 109052
6760|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Интеллектуальные информационные решения»|5147746142187|5147746142187|7730713141|№ 44 от 02.02.2017||ул. Поклонная, д. 8, офис 57, г. Москва, 121170
6761|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Балтийский информационный центр»|1117847129465|1117847129465|7816510633|№ 44 от 02.02.2017||ул. Маршала Тухаческого, д. 22, лит. А, пом. 50-Н, г. Санкт-Петербург, 195067
6762|2017-02-02 00:00:00|Общество с ограниченной ответственностью «МОБИЛЬНЫЕ СИСТЕМЫ УПРАВЛЕНИЯ»|5167746436083|5167746436083|7707376699|№ 44 от 02.02.2017||ул. Краснопролетарская, д. 16, стр. 2, пом. 1, г. Москва, 127473
6763|2017-02-02 00:00:00|Общество с ограниченной ответственностью «ЛЕКСПРО Софт»|1047796823953|1047796823953|7708541955|№ 44 от 02.02.2017||ул. Басманная Нов., д. 9, стр. 1, г. Москва, 107078
6764|2017-02-02 00:00:00|Общество с ограниченной ответственностью «ТОК Софтвер»|1167847397915|1167847397915|7813262573|№ 44 от 02.02.2017||пр-т Каменноостровский, д. 26-28, лит. А, пом. 55Н, комн. 9, г. Санкт-Петербург, 197101
6765|2017-02-02 00:00:00|Общество с ограниченной ответственностью «ВНЕДРЕНЧЕСКИЙ ЦЕНТР «КОМПЬЮТЕРЫ И СЕТИ»|1165476151972|1165476151972|5402022589|№ 44 от 02.02.2017||ул. Залесского, д. 5/1, офис 711, г. Новосибирск, Новосибирская обл., 630075
6766|2017-02-02 00:00:00|Общество с ограниченной ответственностью «ИКС-Фрэйм»|1022402295244|1022402295244|2464031683|№ 44 от 02.02.2017||ул. Батурина, д. 32, пом. 4, г. Красноярск, Красноярский край, 660077
6767|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Силуэт»|1089847020966|1089847020966|7810502795|№ 44 от 02.02.2017||ул. Коли Томчака, д. 9, лит. Ж, г. Санкт-Петербург, 196084
6768|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Академия БИМ»|1157746329949|1157746329949|7701100045|№ 44 от 02.02.2017||ул. Нижний Сусальный, д. 5, стр. 4, комн. 24, г. Москва, 105064
6769|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Внедренческий центр «Раздолье»|1087325002599|1087325002599|7325078348|№ 44 от 02.02.2017||ул. Марта, д. 15, г. Ульяновск, Ульяновская обл., 432071
6770|2017-02-02 00:00:00|Общество с ограниченной ответственностью «ВИТ»|1157847113500|1157847113500|7842030880|№ 44 от 02.02.2017||ул. Херсонская, д. 39, лит. А, г. Санкт-Петербург, 191167
6771|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Простые системы»|1131651002823|1131651002823|1651070419|№ 44 от 02.02.2017||пр-т Мира, д. 74, кв. 68, г. Нижнекамск, Нижнекамский р-н, Респ. Татарстан, 423570
6772|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Роксот»|1167847200773|1167847200773|7842106018|№ 44 от 02.02.2017||ул. Маяковского, д. 12А, лит. П, пом. 3-Н, г. Санкт-Петербург, 191014
6773|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Айти грэйд»|1106732004158|1106732004158|6732004205|№ 44 от 02.02.2017||пер. Юннатов, д. 10, офис 1, г. Смоленск, Смоленская обл., 214013
6774|2017-02-02 00:00:00|Общество с ограниченной ответственностью «ИНТЭК»|1169658053509|1169658053509|6671042465|№ 44 от 02.02.2017||ул. Московская, д. 195, офис 1214, г. Екатеринбург, Свердловская обл., 620144
6775|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Собиз Консалт»|1162468125148|1162468125148|2460099955|№ 44 от 02.02.2017||ул. Ладо Кецховели, д. 22А, офис 615, г. Красноярск, Красноярский край, 660001
6776|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Граф-ИТ Технологии»|1167847438736|1167847438736|7816343044|№ 44 от 02.02.2017||ул. Тамбовская, д. 12, лит. Б, г. Санкт-Петербург, 192007
6778|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Дунайс»|1126154000917|1126154000917|6154043439|№ 44 от 02.02.2017||пер. Гоголевский, д. 6, офис 326, г. Таганрог, Ростовская обл., 347900
6779|2017-02-02 00:00:00|Общество с ограниченной ответственностью «1С-РАРУС ЦЕНТР РАЗРАБОТКИ»|1149204029480|1149204029480|9204014449|№ 44 от 02.02.2017||ул. Кулакова, д. 58, г. Севастополь, 299011
6780|2017-02-02 00:00:00|Общество с ограниченной ответственностью «ЗСПУ – Информационные технологии»|1037804079906|1037804079906|7802224417|№ 44 от 02.02.2017||ул. Домостроительная, д. 16, г. Санкт-Петербург, 194292
6781|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Интегральные Решения»|1107746562989|1107746562989|7735570592|№ 44 от 02.02.2017||корп. 160, кв. 218, г. Зеленоград, г. Москва, 124482
6782|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Смарт Офис»|1109847006500|1109847006500|7814456910|№ 44 от 02.02.2017||ул. Аэродромная, д. 6, лит. А, офис 325, г. Санкт-Петербург, 197348
6783|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Дунайс Альянс»|1136154009892|1136154009892|6154130674|№ 44 от 02.02.2017||пер. Гоголевский, д. 6, офис 322, г. Таганрог, Ростовская обл., 347900
6784|2017-02-02 00:00:00|Общество с ограниченной ответственностью «МН КОНСАЛТИНГ»|1107746014254|1107746014254|7725685594|№ 44 от 02.02.2017||ул. Мартеновская, д. 5, пом. I, комн. 3, г. Москва, 111399
6785|2017-02-02 00:00:00|Акционерное общество «АРТ ГРУПП ТЕХНОЛОДЖИ»|1127747077545|1127747077545|7726707233|№ 44 от 02.02.2017||ул. Барклая, д. 13, стр. 1, комн. 33, г. Москва, 121309
6786|2017-02-02 00:00:00|Общество с ограниченной ответственностью «СДН-видео»|1107746205841|1107746205841|7733728241|№ 44 от 02.02.2017||ул. Нобеля, д. 7, этаж 2, пом. 34, территория инновационного центра Сколково, г. Москва, 143026
6787|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Эффективная команда»|1160280072369|1160280072369|278915811|№ 44 от 02.02.2017||ул. Бабушкина, д. 17, корп. Г, г. Уфа, Респ. Башкортостан, 450001
6788|2017-02-02 00:00:00|Общество с ограниченной ответственностью «ХОЛОГРУПП»|1165024056966|1165024056966|5024167801|№ 44 от 02.02.2017||б-р Строителей, д. 4, корп. 1, секция А, этаж 6, г. Красногорск, Красногорский р-н, Московская обл., 143402
6789|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Центр современных технологий и консалтинга»|5167746488949|5167746488949|7722386821|№ 44 от 02.02.2017||пр-д Завода Серп и Молот, д. 6, комн. 8, этаж 3, подъезд 3, г. Москва, 111250
6790|2017-02-02 00:00:00|Общество с ограниченной ответственностью «СОТСОС»|1157847417969|1157847417969|7813238010|№ 44 от 02.02.2017||ул. Мира, д. 3, лит. А, офис 270, г. Санкт-Петербург, 197101
6791|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Лимон»|1165958117357|1165958117357|5902040681|№ 44 от 02.02.2017||ул. Спешилова, д. 111, офис 4, г. Пермь, Пермский край, 614013
6792|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Аспро»|1107453010213|1107453010213|7453223946|№ 44 от 02.02.2017||ул. Энтузиастов, д. 30, офис 401, г. Челябинск, Челябинская обл., 454092
6793|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Сольвейг Мультимедиа»|1037000157512|1037000157512|7017080920|№ 44 от 02.02.2017||пр-т Развития, д. 3, г. Томск, Томская обл., 634055
6794|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Информационный Центр Трейд Софт»|1097746000571|1097746000571|7743731317|№ 44 от 02.02.2017||ул. Брестская 1-я, д. 33, стр. 1, пом. 2, г. Москва, 125047
6795|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Акстел-Безопасность»|1135476117391|1135476117391|5410779213|№ 44 от 02.02.2017||ул. Авиастроителей, д. 39Б, г. Новосибирск, Новосибирская обл., 630084
6796|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Бринго Технолоджи»|1167746893258|1167746893258|7723475457|№ 44 от 02.02.2017||ул. Шарикоподшипниковская, д. 13, стр. 3, г. Москва, 115088
6797|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Фортис»|1167847277872|1167847277872|7839067841|№ 44 от 02.02.2017||ул. 9-я Линия В.О., д. 34, лит. А, г. Санкт-Петербург, 199004
6798|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Персонализация»|1167847426933|1167847426933|7813264235|№ 44 от 02.02.2017||ул. Введенская, д. 8, лит. А, пом. 11-Н, г. Санкт-Петербург, 197198
6799|2017-02-02 00:00:00|Общество с ограниченной ответственностью «АЙТИ ЛАБС»|1169658108003|1169658108003|6678075607|№ 44 от 02.02.2017||ул. Кимовская, д. 8, кв. 7, г. Екатеринбург, Свердловская обл., 620107
6800|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Профессионалы автоматизации»|1163850097201|1163850097201|3849061418|№ 44 от 02.02.2017||ул. Декабрьских событий, д. 125, офис 500, г. Иркутск, Иркутская обл., 664007
6801|2017-02-02 00:00:00|Общество с ограниченной ответственностью «СмартПипл»|1125543034638|1125543034638|5501241510|№ 44 от 02.02.2017||ул. Красный путь, д. 127, кв. 3, г. Омск, Омская обл., 644033
6802|2017-02-02 00:00:00|Общество с ограниченной ответственностью «СОФТЛОГИСТИК»|1167847450033|1167847450033|7838062110|№ 44 от 02.02.2017||ул. Галерная, д. 13, лит. А, пом. 128, г. Санкт-Петербург, 190000
6803|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Манзана Софт»|5167746437733|5167746437733|9705083570|№ 44 от 02.02.2017||ул. Пятницкая, д. 37, пом. 1, комн. 1, г. Москва, 119017
6804|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Ортикон-ИТ Интегратор»|1107746062445|1107746062445|7715795012|№ 44 от 02.02.2017||ул. Сущевская, д. 27, корп. 2, пом. VIII, г. Москва, 127055
6805|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Ортикон Корпоративные Системы»|1157746436121|1157746436121|7715485412|№ 44 от 02.02.2017||ул. Декабристов, д. 38, корп. 1, г. Москва, 127273
6806|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Информатика»|1167746841404|1167746841404|9701049064|№ 44 от 02.02.2017||ул. Мясницкая, д. 42, стр. 3, пом. III, комн. 8, г. Москва, 101000
6807|2017-02-02 00:00:00|Общество с ограниченной ответственностью «ХАЙВТАКСИ»|1145543034670|1145543034670|5507249957|№ 44 от 02.02.2017||ул. 12 Декабря, д. 60, кв. 51, г. Омск, Омская обл., 644103
6808|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Бигинформ»|1167746374751|1167746374751|9710010352|№ 44 от 02.02.2017||пер. Трехпрудный. д. 11/13, стр. 2, пом. II, г. Москва, 123001
6809|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Большая Тройка»|1107746574308|1107746574308|7716668049|№ 44 от 02.02.2017||ул. Летчика Бабушкина, д. 17, корп. 1, г. Москва, 129344
6810|2017-02-02 00:00:00|Общество с ограниченной ответственностью «КЕЙС СТУДИО»|1155476112770|1155476112770|5408006270|№ 44 от 02.02.2017||ул. Инженерная, д. 16, офис 21, г. Новосибирск, Новосибирская обл., 630090
6811|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Лаборатория Качества»|1097746205611|1097746205611|7728697541|№ 44 от 02.02.2017||ул. Генерала Тюленева, д. 7, корп. 1, офис 368, г. Москва, 117465
6812|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Научно-производственная фирма ДонСофт»|1156196069215|1156196069215|6168083865|№ 44 от 02.02.2017||ул. Совхозная, д. 2Д, г. Ростов-на-Дону, Ростовская обл., 344055
6813|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Мобильные Технологии»|1147154070942|1147154070942|7107104414|№ 44 от 02.02.2017||ул. Болдина, д. 41А, пом. 47, офис 21, 300013
6814|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Оригма»|1027000877320|1027000877320|7017052521|№ 44 от 02.02.2017||ул. Студенческая, д. 3, 17, г. Томск, Томская обл., 634034
6815|2017-02-02 00:00:00|Общество с ограниченной ответственностью «ИНФОРМАУДИТСЕРВИС. КОНСАЛТИНГ И АУТСОРСИНГ»|1167746613540|1167746613540|9715264569|№ 44 от 02.02.2017||ул. Новодмитровская, д. 2, корп. 1, офис К4, г. Москва, 127015
6816|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Колари»|1107325006766|1107325006766|7325100096|№ 44 от 02.02.2017||ул. Радищева, д. 53, офис 44, г. Ульяновск, Ульяновская обл., 432063
6817|2017-02-02 00:00:00|Акционерное общество «Псковагроинформ»|1026000972139|1026000972139|6027015051|№ 44 от 02.02.2017||ул. Аллейная, д. 1, г. Псков, Псковская обл., 180021
6818|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Центр Исследования и Разработки Информатика»|1107847351644|1107847351644|7801531373|№ 44 от 02.02.2017||ул. Петербургская, д. 50, корп. 5, этаж 3, офис 26, г. Казань, Респ. Татарстан, 420107
6819|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Казанская академия управления проектами»|1061685048424|1061685048424|1657060382|№ 44 от 02.02.2017||ул. Юлиуса Фучика, д. 90А, офис 410, г. Казань, Респ. Татарстан, 420140
6820|2017-02-02 00:00:00|Общество с ограниченной ответственностью «101ЭксПи Геймз»|5167746373031|5167746373031|7722383549|№ 44 от 02.02.2017||ул. Золоторожский Вал, д. 11, стр. 21, офис 727, г. Москва, 111033
6821|2017-02-02 00:00:00|Общество с ограниченной ответственностью «РУНА»|1145835003346|1145835003346|5835108275|№ 44 от 02.02.2017||пр-т Строителей, д. 150А, г. Пенза, Пензенская обл., 440066
6822|2017-02-02 00:00:00|Общество с ограниченной ответственностью «РУНА-СЕРВИС»|1155835005402|1155835005402|5835115184|№ 44 от 02.02.2017||пр-т Строителей, д. 150А, г. Пенза, Пензенская обл., 440066
6823|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Индустрия Автоматизации»|5167746389113|5167746389113|7706444378|№ 44 от 02.02.2017||2-й Хвостов пер., д. 12, пом. V, комн. 1 Г, г. Москва, 119180
6824|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Ретайм»|1027809229029|1027809229029|7825354645|№ 44 от 02.02.2017||пр-т Лиговский, д. 73, лит. А, офис 510А, г. Санкт-Петербург, 191040
6825|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Спектр-Гранд»|1167154059247|1167154059247|7104071224|№ 44 от 02.02.2017||пр-т Ленина, д. 108, офис 309, г. Тула, Тульская обл., 300026
6826|2017-02-02 00:00:00|Общество с ограниченной ответственностью «БЛТ Групп»|5157746032604|5157746032604|7736255610|№ 44 от 02.02.2017||ул. Вавилова, д. 69/75, г. Москва, 117335
6827|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Умные решения»|1163668118690|1163668118690|3664224596|№ 44 от 02.02.2017||ул. 20-летия Октября, д. 119, офис 700, г. Воронеж, Воронежская обл., 394006
6828|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Бизнес ресурсы»|1163668118745|1163668118745|3662240828|№ 44 от 02.02.2017||ул. Солнечная, д. 13, офис 13, г. Воронеж, Воронежская обл., 394019
6829|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Парма Эдвансет Технолоджис»|1165958122098|1165958122098|5904345576|№ 44 от 02.02.2017||ул. Клары Цеткиной, д. 10а, офис 716, г. Пермь, Пермский край, 614010
6830|2017-02-02 00:00:00|Общество с ограниченной ответственностью «ТЕЛЕСОФТ»|1097746726769|1097746726769|7701857082|№ 44 от 02.02.2017||пер. Харитоньевский Б., д. 9, г. Москва, 101000
6831|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Потенциал»|1117746433452|1117746433452|7718849474|№ 44 от 02.02.2017||ул. Фадеева, д. 5, пом. III, комн. 5, г. Москва, 125047
6832|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Айспик Лодж»|1067746821780|1067746821780|7743603869|№ 44 от 02.02.2017||ул. Рощинская 3-я, д. 5, г. Москва, 115191
6833|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Технологии качества»|1137746147494|1137746147494|7733832764|№ 44 от 02.02.2017||ул. Свободы, д. 8/4, стр. 2, пом. 3Н, комн. 4, г. Москва, 125362
6834|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Интех - Софт»|1020502524998|1020502524998|561045110|№ 44 от 02.02.2017||ул. Имама Шамиля, д. 75, г. Махачкала, Респ. Дагестан, 367030
6835|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Программные решения Антилл»|1167847440463|1167847440463|7816343189|№ 44 от 02.02.2017||ул. Фучика, д. 4, лит. К, пом. 5 8Н, г. Санкт-Петербург, 192102
6836|2017-02-02 00:00:00|Общество с ограниченной ответственностью «АйТи Либертас»|1137847254324|1137847254324|7801605709|№ 44 от 02.02.2017||пр-т Владимирский, д. 17, лит а, офис 34-Н, г. Санкт-Петербург, 191002
6837|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Информационные Розничные Интегрированные Системы»|5157746120604|5157746120604|7733261013|№ 44 от 02.02.2017||ул. Барышиха, д. 17, офис 1М, г. Москва, 125368
6838|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Агентство электронного тестирования»|1127847235537|1127847235537|7816537280|№ 44 от 02.02.2017||ул. Новгородская, д. 23, лит. А, пом. 106Н, г. Санкт-Петербург, 191124
6839|2017-02-02 00:00:00|Общество с ограниченной ответственностью «ПСИ»|1087746773135|1087746773135|7705847350|№ 44 от 02.02.2017||пер. Саввинский Б., д. 12, стр. 16, пом. ХХХI, комн. 37, 39-61, г. Москва, 119435
6840|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Стримлайн»|1167031054618|1167031054618|7017397149|№ 44 от 02.02.2017||ул. Источная, д. 10, кв. 13, г. Томск, Томская обл., 634050
6841|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Руспромсофт Плюс»|1165275034968|1165275034968|5262340420|№ 44 от 02.02.2017||ул. Полтавская, д. 32, лит. А, А1, А2, нежилое помещение 9, г. Нижний Новгород, Нижегородская обл., 603089, 119435
6842|2017-02-02 00:00:00|Государственное бюджетное учреждение Республики Марий Эл «Информсреда»|1021200750339|1021200750339|1215080985|№ 44 от 02.02.2017||пр-т Ленинский, д. 29, кв. 101, г. Йошкар-Ола, Респ Марий Эл, 424001
6843|2017-02-02 00:00:00|Общество с ограниченной ответственностью «Мандарин Солюшенс»|5157746191730|5157746191730|7731302401|№ 44 от 02.02.2017||ул. Горбунова, д. 2, стр. 3, г. Москва, 121596
6844|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Атлас»|1161215063448|1161215063448|1215214935|№ 78 от 28.02.2017||ул. Анциферова, д. 7А, офис 1, г. Йошкар-Ола, Респ. Марий Эл, 424000
6845|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Скай Сервис»|1166196110739|1166196110739|6165204720|№ 78 от 28.02.2017||ул. Текучева, д. 139В, офис 7, г. Ростов-на-Дону, Ростовская обл., 344018
6846|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Ускорение бизнеса»|5167746389476|5167746389476|7706444385|№ 78 от 28.02.2017||ул. Полянка Б., д. 51А/9, этаж 8, пом. I, комн. 1, г. Москва, 119180
6847|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Алор-Интех»|1067746340859|1067746340859|7701646973|№ 78 от 28.02.2017||ул. Покровка, д. 9, стр. 1, г. Москва, 101000
6848|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Софтмет»|1127456001860|1127456001860|7456010329|№ 78 от 28.02.2017||ул. Горького, д. 18, офис 17, г. Магнитогорск, Челябинская обл., 455000
6849|2017-02-28 00:00:00|Общество с ограниченной ответственностью «РИТЕЙЛДРАЙВЕР»|5147746272339|5147746272339|7724941710|№ 78 от 28.02.2017||пр-д Хлебозаводский, д. 7, стр. 9, г. Москва, 115230
6850|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Исследовательско-технологический центр «Аусферр»|1027402176229|1027402176229|7445011539|№ 78 от 28.02.2017||ул. Горького, д. 18, офис 17, г. Магнитогорск, Челябинская обл., 455000
6851|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Вейвз Аудио Системс»|1162375040200|1162375040200|2312251194|№ 78 от 28.02.2017||ул. Уральская, д. 75/1, офис 605, г. Краснодар, Краснодарский край, 350059
6852|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Профи.Лаб»|1167746321720|1167746321720|7719442716|№ 78 от 28.02.2017||ул. Чечулина, д. 11, корп. 2, пом. 1, комн. 6, г. Москва, 105568
6853|2017-02-28 00:00:00|Общество с ограниченной ответственностью «НИНТЕГРА»|5167746339261|5167746339261|9718036176|№ 78 от 28.02.2017||б-р Маршала Рокоссовского, д. 6, корп. 1, кв. 1613, г. Москва, 107370
6854|2017-02-28 00:00:00|Общество с ограниченной ответственностью «СТМ»|1149102039734|1149102039734|9102024825|№ 78 от 28.02.2017||ул. Бородина, д. 14Г, г. Симферополь, Респ. Крым, 295022
6855|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Интернет Школа»|1097746489950|1097746489950|7724715856|№ 78 от 28.02.2017||пер. Шубинский, д. 2/3, этаж 4, пом. VI, комн. 1, г. Москва, 121099
6856|2017-02-28 00:00:00|Общество с ограниченной ответственностью «ЭКСПОДАТ»|1167746591055|1167746591055|7743160840|№ 78 от 28.02.2017||ш. Волоколамское, д. 2, этаж 26, пом. I, комн. 16, г. Москва, 125080
6857|2017-02-28 00:00:00|Общество с ограниченной ответственностью «ГлавТехНадзор»|1097746547051|1097746547051|7726636293|№ 78 от 28.02.2017||ш. Варшавское, д. 125, стр. 1, г. Москва, 117545
6858|2017-02-28 00:00:00|Общество с ограниченной ответственностью «КОУДВЕБ»|1135047004531|1135047004531|5047110015|№ 78 от 28.02.2017||пр-д Лихачевский, д. 4, стр. 1, г. Долгопрудный, Московская обл., 141700
6859|2017-02-28 00:00:00|Общество с ограниченной ответственностью «РЗ-Инвест»|1147746055181|1147746055181|7725816776|№ 78 от 28.02.2017||пер. Дербеневский 1-й, д. 5, г. Москва, 115114
6860|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Плико»|1167847208429|1167847208429|7802576360|№ 78 от 28.02.2017||ул. Астраханская, д. 26, лит. А, пом. 12-Н, г. Санкт-Петербург, 194044
6861|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Оптимальное Движение»|1177847007865|1177847007865|7801326416|№ 78 от 28.02.2017||пр-т Средний В.О., д. 61, лит. А, пом. 2Н, г. Санкт-Петербург, 199178
6862|2017-02-28 00:00:00|Общество с ограниченной ответственностью «МЕДИНДЕКС»|1117847280187|1117847280187|7802756370|№ 78 от 28.02.2017||ул. Академика Павлова, д. 5, лит. В, г. Санкт-Петербург, 197022
6863|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Эксперт»|1030203895655|1030203895655|274028061|№ 78 от 28.02.2017||ул. Цюрупы, д. 44, корп. 1, г. Уфа, Респ. Башкортостан, 450077
